symbol,company,group,period_end,title,publish_dt,tracing_no,is_revision,excel_url,section,product,unit,month_production,month_sales_qty,month_sales_rate_rial,month_sales_amount_mrial,month,year
ارفع,آهن و فولاد ارفع,steel,1400/11/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰(اصلاحیه),۱۴۰۰/۱۲/۱۸ ۱۶:۳۴:۲۸,861474,True,https://excel.codal.ir/service/Excel/GetAll/GogQQQaQQQdMPapnO4irnxUeLvHQ%3d%3d/0,export,شمش فولادی,تن,,41688.0,145846862.0,6080064.0,1400-11,1400
ارفع,آهن و فولاد ارفع,steel,1400/12/29,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,۱۴۰۱/۰۱/۰۹ ۱۳:۳۵:۱۶,865658,False,https://excel.codal.ir/service/Excel/GetAll/eOz4pcZ7XtcEBl95f2OOObOOOP5w%3d%3d/0,domestic,آهن اسفنجی ( DRI ),تن,83281.0,,,0.0,1400-12,1400
ارفع,آهن و فولاد ارفع,steel,1400/12/29,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,۱۴۰۱/۰۱/۰۹ ۱۳:۳۵:۱۶,865658,False,https://excel.codal.ir/service/Excel/GetAll/eOz4pcZ7XtcEBl95f2OOObOOOP5w%3d%3d/0,domestic,شمش فولادی,تن,73829.0,39534.0,134777432.0,5328291.0,1400-12,1400
ارفع,آهن و فولاد ارفع,steel,1400/12/29,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,۱۴۰۱/۰۱/۰۹ ۱۳:۳۵:۱۶,865658,False,https://excel.codal.ir/service/Excel/GetAll/eOz4pcZ7XtcEBl95f2OOObOOOP5w%3d%3d/0,export,شمش فولادی,تن,,71248.0,129301412.0,9212467.0,1400-12,1400
ارفع,آهن و فولاد ارفع,steel,1401/01/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱(اصلاحیه),۱۴۰۱/۰۲/۰۸ ۱۶:۲۶:۱۰,876306,True,https://excel.codal.ir/service/Excel/GetAll/s3FrQwyYW8cuAN3h6s7tIg%3d%3d/0,domestic,آهن اسفنجی ( DRI ),تن,98672.0,0.0,,0.0,1401-01,1401
ارفع,آهن و فولاد ارفع,steel,1401/01/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱(اصلاحیه),۱۴۰۱/۰۲/۰۸ ۱۶:۲۶:۱۰,876306,True,https://excel.codal.ir/service/Excel/GetAll/s3FrQwyYW8cuAN3h6s7tIg%3d%3d/0,domestic,شمش فولادی,تن,85059.0,28065.0,148177980.0,4158615.0,1401-01,1401
ارفع,آهن و فولاد ارفع,steel,1401/01/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱(اصلاحیه),۱۴۰۱/۰۲/۰۸ ۱۶:۲۶:۱۰,876306,True,https://excel.codal.ir/service/Excel/GetAll/s3FrQwyYW8cuAN3h6s7tIg%3d%3d/0,export,شمش فولادی : تن,تن,0.0,9926.0,136561556.0,1355510.0,1401-01,1401
ارفع,آهن و فولاد ارفع,steel,1401/02/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,۱۴۰۱/۰۳/۰۷ ۱۳:۳۸:۱۳,886595,False,https://excel.codal.ir/service/Excel/GetAll/2jzSKuZPh6q01aDf2VDbQQQaQQQA%3d%3d/0,domestic,آهن اسفنجی ( DRI ),تن,94408.0,0.0,,0.0,1401-02,1401
ارفع,آهن و فولاد ارفع,steel,1401/02/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,۱۴۰۱/۰۳/۰۷ ۱۳:۳۸:۱۳,886595,False,https://excel.codal.ir/service/Excel/GetAll/2jzSKuZPh6q01aDf2VDbQQQaQQQA%3d%3d/0,domestic,شمش فولادی,تن,80637.0,15850.0,155182397.0,2459641.0,1401-02,1401
ارفع,آهن و فولاد ارفع,steel,1401/02/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,۱۴۰۱/۰۳/۰۷ ۱۳:۳۸:۱۳,886595,False,https://excel.codal.ir/service/Excel/GetAll/2jzSKuZPh6q01aDf2VDbQQQaQQQA%3d%3d/0,export,شمش فولادی : تن,تن,0.0,57950.0,134121553.0,7772344.0,1401-02,1401
ارفع,آهن و فولاد ارفع,steel,1401/03/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,۱۴۰۱/۰۴/۰۴ ۰۹:۵۵:۴۸,901063,False,https://excel.codal.ir/service/Excel/GetAll/3vKS4ycctl5tsKOBhg3fQw%3d%3d/0,domestic,آهن اسفنجی ( DRI ),تن,98910.0,,,0.0,1401-03,1401
ارفع,آهن و فولاد ارفع,steel,1401/03/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,۱۴۰۱/۰۴/۰۴ ۰۹:۵۵:۴۸,901063,False,https://excel.codal.ir/service/Excel/GetAll/3vKS4ycctl5tsKOBhg3fQw%3d%3d/0,domestic,شمش فولادی,تن,81299.0,59479.0,146829066.0,8733246.0,1401-03,1401
ارفع,آهن و فولاد ارفع,steel,1401/03/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,۱۴۰۱/۰۴/۰۴ ۰۹:۵۵:۴۸,901063,False,https://excel.codal.ir/service/Excel/GetAll/3vKS4ycctl5tsKOBhg3fQw%3d%3d/0,export,شمش فولادی : تن,تن,0.0,30581.0,174483209.0,5335871.0,1401-03,1401
ارفع,آهن و فولاد ارفع,steel,1401/04/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,۱۴۰۱/۰۵/۰۳ ۱۲:۲۶:۳۰,917694,False,https://excel.codal.ir/service/Excel/GetAll/9vH7OKOIZNG0bpn9OOObOOOikJFQ%3d%3d/0,domestic,آهن اسفنجی ( DRI ),تن,76641.0,995.0,84901508.0,84477.0,1401-04,1401
ارفع,آهن و فولاد ارفع,steel,1401/04/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,۱۴۰۱/۰۵/۰۳ ۱۲:۲۶:۳۰,917694,False,https://excel.codal.ir/service/Excel/GetAll/9vH7OKOIZNG0bpn9OOObOOOikJFQ%3d%3d/0,domestic,شمش فولادی,تن,38070.0,75360.0,144098408.0,10859256.0,1401-04,1401
ارفع,آهن و فولاد ارفع,steel,1401/04/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,۱۴۰۱/۰۵/۰۳ ۱۲:۲۶:۳۰,917694,False,https://excel.codal.ir/service/Excel/GetAll/9vH7OKOIZNG0bpn9OOObOOOikJFQ%3d%3d/0,export,شمش فولادی : تن,تن,,,0.0,0.0,1401-04,1401
ارفع,آهن و فولاد ارفع,steel,1401/05/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,۱۴۰۱/۰۶/۰۵ ۱۲:۰۶:۴۳,928697,False,https://excel.codal.ir/service/Excel/GetAll/1GWMW1vU0OJbhzcqk7JO9Q%3d%3d/0,domestic,آهن اسفنجی ( DRI ),تن,103015.0,24505.0,75487452.0,1849820.0,1401-05,1401
ارفع,آهن و فولاد ارفع,steel,1401/05/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,۱۴۰۱/۰۶/۰۵ ۱۲:۰۶:۴۳,928697,False,https://excel.codal.ir/service/Excel/GetAll/1GWMW1vU0OJbhzcqk7JO9Q%3d%3d/0,export,آهن اسفنجی ( DRI ),تن,0.0,49.63,76163611.0,3780.0,1401-05,1401
ارفع,آهن و فولاد ارفع,steel,1401/05/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,۱۴۰۱/۰۶/۰۵ ۱۲:۰۶:۴۳,928697,False,https://excel.codal.ir/service/Excel/GetAll/1GWMW1vU0OJbhzcqk7JO9Q%3d%3d/0,domestic,شمش فولادی,تن,21251.0,49571.0,135128624.0,6698461.0,1401-05,1401
ارفع,آهن و فولاد ارفع,steel,1401/05/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,۱۴۰۱/۰۶/۰۵ ۱۲:۰۶:۴۳,928697,False,https://excel.codal.ir/service/Excel/GetAll/1GWMW1vU0OJbhzcqk7JO9Q%3d%3d/0,export,شمش فولادی : تن,تن,0.0,0.0,0.0,0.0,1401-05,1401
ارفع,آهن و فولاد ارفع,steel,1401/06/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,۱۴۰۱/۰۷/۰۶ ۱۶:۱۲:۳۱,941702,False,https://excel.codal.ir/service/Excel/GetAll/VRAAmX6l1BsLPEGGi0Mvvw%3d%3d/0,domestic,آهن اسفنجی ( DRI ),تن,101896.0,42255.0,77070311.0,3256606.0,1401-06,1401
ارفع,آهن و فولاد ارفع,steel,1401/06/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,۱۴۰۱/۰۷/۰۶ ۱۶:۱۲:۳۱,941702,False,https://excel.codal.ir/service/Excel/GetAll/VRAAmX6l1BsLPEGGi0Mvvw%3d%3d/0,export,آهن اسفنجی ( DRI ),تن,,200.0,79415000.0,15883.0,1401-06,1401
ارفع,آهن و فولاد ارفع,steel,1401/06/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,۱۴۰۱/۰۷/۰۶ ۱۶:۱۲:۳۱,941702,False,https://excel.codal.ir/service/Excel/GetAll/VRAAmX6l1BsLPEGGi0Mvvw%3d%3d/0,domestic,شمش فولادی,تن,79200.0,79891.0,129840695.0,10373103.0,1401-06,1401
ارفع,آهن و فولاد ارفع,steel,1401/06/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,۱۴۰۱/۰۷/۰۶ ۱۶:۱۲:۳۱,941702,False,https://excel.codal.ir/service/Excel/GetAll/VRAAmX6l1BsLPEGGi0Mvvw%3d%3d/0,export,شمش فولادی :تن,تن,,38.21,140722324.0,5377.0,1401-06,1401
ارفع,آهن و فولاد ارفع,steel,1401/07/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),۱۴۰۱/۱۰/۱۰ ۱۴:۴۱:۴۸,976690,True,https://excel.codal.ir/service/Excel/GetAll/kE3nDrqSjN7v7spGJH10Cg%3d%3d/0,domestic,آهن اسفنجی ( DRI ),تن,97478.0,22159.0,75520014.0,1673448.0,1401-07,1401
ارفع,آهن و فولاد ارفع,steel,1401/07/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),۱۴۰۱/۱۰/۱۰ ۱۴:۴۱:۴۸,976690,True,https://excel.codal.ir/service/Excel/GetAll/kE3nDrqSjN7v7spGJH10Cg%3d%3d/0,export,آهن اسفنجی ( DRI ),تن,,4999.0,77067213.0,385259.0,1401-07,1401
ارفع,آهن و فولاد ارفع,steel,1401/07/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),۱۴۰۱/۱۰/۱۰ ۱۴:۴۱:۴۸,976690,True,https://excel.codal.ir/service/Excel/GetAll/kE3nDrqSjN7v7spGJH10Cg%3d%3d/0,domestic,شمش فولادی,تن,84338.0,62739.0,135427613.0,8496593.0,1401-07,1401
ارفع,آهن و فولاد ارفع,steel,1401/07/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),۱۴۰۱/۱۰/۱۰ ۱۴:۴۱:۴۸,976690,True,https://excel.codal.ir/service/Excel/GetAll/kE3nDrqSjN7v7spGJH10Cg%3d%3d/0,export,شمش فولادی :تن,تن,,0.0,0.0,0.0,1401-07,1401
ارفع,آهن و فولاد ارفع,steel,1401/08/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),۱۴۰۱/۱۰/۱۰ ۱۴:۴۴:۴۲,976689,True,https://excel.codal.ir/service/Excel/GetAll/JKwxafLuNtusmRlMAEFPdA%3d%3d/0,domestic,آهن اسفنجی ( DRI ),تن,99653.0,527.0,78743833.0,41498.0,1401-08,1401
ارفع,آهن و فولاد ارفع,steel,1401/08/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),۱۴۰۱/۱۰/۱۰ ۱۴:۴۴:۴۲,976689,True,https://excel.codal.ir/service/Excel/GetAll/JKwxafLuNtusmRlMAEFPdA%3d%3d/0,export,آهن اسفنجی ( DRI ),تن,,,0.0,0.0,1401-08,1401
