date,usd_irr,date_jalali
2014-07-14,31170.0,1393/04/23
2014-07-15,31360.0,1393/04/24
2014-07-16,31430.0,1393/04/25
2014-07-17,31560.0,1393/04/26
2014-07-20,31330.0,1393/04/29
2014-07-21,31330.0,1393/04/30
2014-07-22,31330.0,1393/04/31
2014-07-23,31390.0,1393/05/01
2014-07-24,31380.0,1393/05/02
2014-07-26,31370.0,1393/05/04
2014-07-27,31290.0,1393/05/05
2014-07-28,31260.0,1393/05/06
2014-07-30,31231.0,1393/05/08
2014-08-02,31400.0,1393/05/11
2014-08-03,31420.0,1393/05/12
2014-08-04,31400.0,1393/05/13
2014-08-05,31400.0,1393/05/14
2014-08-06,31320.0,1393/05/15
2014-08-07,31320.0,1393/05/16
2014-08-09,31220.0,1393/05/18
2014-08-10,31250.0,1393/05/19
2014-08-11,31190.0,1393/05/20
2014-08-12,31270.0,1393/05/21
2014-08-13,31180.0,1393/05/22
2014-08-14,31190.0,1393/05/23
2014-08-16,31020.0,1393/05/25
2014-08-17,31070.0,1393/05/26
2014-08-18,31050.0,1393/05/27
2014-08-19,30930.0,1393/05/28
2014-08-20,30920.0,1393/05/29
2014-08-21,30910.0,1393/05/30
2014-08-23,31160.0,1393/06/01
2014-08-24,31330.0,1393/06/02
2014-08-25,31270.0,1393/06/03
2014-08-26,31300.0,1393/06/04
2014-08-27,31300.0,1393/06/05
2014-08-28,31420.0,1393/06/06
2014-08-30,31500.0,1393/06/08
2014-08-31,31480.0,1393/06/09
2014-09-01,31730.0,1393/06/10
2014-09-02,31720.0,1393/06/11
2014-09-03,31810.0,1393/06/12
2014-09-04,31740.0,1393/06/13
2014-09-06,31680.0,1393/06/15
2014-09-07,31980.0,1393/06/16
2014-09-08,31750.0,1393/06/17
2014-09-09,31790.0,1393/06/18
2014-09-10,31840.0,1393/06/19
2014-09-11,31860.0,1393/06/20
2014-09-13,31910.0,1393/06/22
2014-09-14,31980.0,1393/06/23
2014-09-15,31920.0,1393/06/24
2014-09-16,32140.0,1393/06/25
2014-09-17,32010.0,1393/06/26
2014-09-18,31990.0,1393/06/27
2014-09-20,31670.0,1393/06/29
2014-09-21,31710.0,1393/06/30
2014-09-22,31880.0,1393/06/31
2014-09-23,31940.0,1393/07/01
2014-09-24,32000.0,1393/07/02
2014-09-25,32000.0,1393/07/03
2014-09-27,32640.0,1393/07/05
2014-09-28,32350.0,1393/07/06
2014-09-29,32410.0,1393/07/07
2014-09-30,32430.0,1393/07/08
2014-10-01,32400.0,1393/07/09
2014-10-02,32430.0,1393/07/10
2014-10-04,32310.0,1393/07/12
2014-10-06,32390.0,1393/07/14
2014-10-07,32370.0,1393/07/15
2014-10-08,32480.0,1393/07/16
2014-10-09,32500.0,1393/07/17
2014-10-11,32500.0,1393/07/19
