symbol,company,group,period_end,title,publish_dt,tracing_no,is_revision,excel_url,energy_type,unit,month_qty,month_rate_rial,month_amount_mrial,ytd_qty,ytd_rate_rial,ytd_amount_mrial,month,year,gregorian
ارفع,آهن و فولاد ارفع,steel,1402/11/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۱۱/۳۰,۱۴۰۲/۱۲/۰۸ ۱۳:۲۹:۱۲,1158197,False,https://excel.codal.ir/service/Excel/GetAll/7xi0anbWXsE60tzalAe4OOObOOOg%3d%3d/0,آب,مترمکعب,34645.0,485092.0,16806.0,794724.0,485235.0,385628.0,1402-11,1402,2024-02-19
ارفع,آهن و فولاد ارفع,steel,1402/11/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۱۱/۳۰,۱۴۰۲/۱۲/۰۸ ۱۳:۲۹:۱۲,1158197,False,https://excel.codal.ir/service/Excel/GetAll/7xi0anbWXsE60tzalAe4OOObOOOg%3d%3d/0,برق,مگاوات ساعت,56692.0,6826995.0,387036.0,832594.0,6827175.0,5684265.0,1402-11,1402,2024-02-19
ارفع,آهن و فولاد ارفع,steel,1402/11/30,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۱۱/۳۰,۱۴۰۲/۱۲/۰۸ ۱۳:۲۹:۱۲,1158197,False,https://excel.codal.ir/service/Excel/GetAll/7xi0anbWXsE60tzalAe4OOObOOOg%3d%3d/0,گاز طبیعی,مترمکعب,8213218.0,37269.0,306101.0,293774691.0,36495.0,10721269.0,1402-11,1402,2024-02-19
ارفع,آهن و فولاد ارفع,steel,1402/12/29,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۱۲/۲۹,۱۴۰۳/۰۱/۰۷ ۱۲:۳۸:۵۱,1172202,False,https://excel.codal.ir/service/Excel/GetAll/7eAIYU2P8F9IvJND1WH67w%3d%3d/0,آب,مترمکعب,56000.0,485071.0,27164.0,873778.0,485221.0,423975.0,1402-12,1402,2024-03-19
ارفع,آهن و فولاد ارفع,steel,1402/12/29,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۱۲/۲۹,۱۴۰۳/۰۱/۰۷ ۱۲:۳۸:۵۱,1172202,False,https://excel.codal.ir/service/Excel/GetAll/7eAIYU2P8F9IvJND1WH67w%3d%3d/0,برق,مگاوات ساعت,61542.0,8944054.0,550435.0,900644.0,7530956.0,6782710.0,1402-12,1402,2024-03-19
ارفع,آهن و فولاد ارفع,steel,1402/12/29,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۱۲/۲۹,۱۴۰۳/۰۱/۰۷ ۱۲:۳۸:۵۱,1172202,False,https://excel.codal.ir/service/Excel/GetAll/7eAIYU2P8F9IvJND1WH67w%3d%3d/0,گاز طبیعی,مترمکعب,16918276.0,41865.0,708283.0,310679974.0,36788.0,11429147.0,1402-12,1402,2024-03-19
ارفع,آهن و فولاد ارفع,steel,1403/01/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۳/۰۱/۳۱,۱۴۰۳/۰۲/۰۳ ۱۵:۱۷:۰۴,1180304,False,https://excel.codal.ir/service/Excel/GetAll/CeJZYRRvGSKb1DvND0g47A%3d%3d/0,آب,مترمکعب,100000.0,675000.0,67500.0,100000.0,675000.0,67500.0,1403-01,1403,2024-04-19
ارفع,آهن و فولاد ارفع,steel,1403/01/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۳/۰۱/۳۱,۱۴۰۳/۰۲/۰۳ ۱۵:۱۷:۰۴,1180304,False,https://excel.codal.ir/service/Excel/GetAll/CeJZYRRvGSKb1DvND0g47A%3d%3d/0,برق,مگاوات ساعت,97328.0,14795013.0,1439969.0,97328.0,14795013.0,1439969.0,1403-01,1403,2024-04-19
ارفع,آهن و فولاد ارفع,steel,1403/01/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۳/۰۱/۳۱,۱۴۰۳/۰۲/۰۳ ۱۵:۱۷:۰۴,1180304,False,https://excel.codal.ir/service/Excel/GetAll/CeJZYRRvGSKb1DvND0g47A%3d%3d/0,گاز طبیعی,مترمکعب,32189304.0,45669.0,1470067.0,32189304.0,45669.0,1470067.0,1403-01,1403,2024-04-19
ارفع,آهن و فولاد ارفع,steel,1403/02/31,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۳/۰۲/۳۱,۱۴۰۳/۰۳/۰۷ ۱۳:۰۰:۱۴,1196205,False,https://excel.codal.ir/service/Excel/GetAll/SedE3IWajXydMlwCOKv3ew%3d%3d/0,آب,مترمکعب,150000.0,675000.0,101250.0,300000.0,675000.0,202500.0,1403-02,1403,2024-05-20
